Property_ID,Full_Address,Suburb,Postcode,Property_Type,Beds,Baths,Car_Spaces,Land_Size_sqm,Raw_Price,Numeric_Price,Latitude,Longitude,URL,Last_Updated
2019918334,"47 Melbourne Road, GISBORNE VIC 3437",GISBORNE,3437,House,4,2,6,25100.0,"$1,995,000 - $2,150,000",2072500.0,-37.493595,144.60538,https://www.domain.com.au/47-melbourne-road-gisborne-vic-3437-2019918334,2026-03-09
2020078719,"1/24 Magnet Lane, NEW GISBORNE VIC 3438",NEW GISBORNE,3438,House,5,3,2,1.01,"$1,495,000",1495000.0,-37.473473,144.60188,https://www.domain.com.au/1-24-magnet-lane-new-gisborne-vic-3438-2020078719,2026-03-09
2020134073,"225 McGeorge Road, GISBORNE VIC 3437",GISBORNE,3437,House,5,3,4,53000.0,"$4,000,000 - $4,300,000",4150000.0,-37.519123,144.60765,https://www.domain.com.au/225-mcgeorge-road-gisborne-vic-3437-2020134073,2026-03-09
2020333125,"210 Brooking Road, GISBORNE VIC 3437",GISBORNE,3437,House,4,2,4,42700.0,"$2,950,000 - $3,200,000",3075000.0,-37.512184,144.61536,https://www.domain.com.au/210-brooking-road-gisborne-vic-3437-2020333125,2026-03-09
2020363237,"18 Joseph Avenue, NEW GISBORNE VIC 3438",NEW GISBORNE,3438,House,4,2,2,8000.0,"$1,500,000 - $1,600,000",1550000.0,-37.474495,144.60815,https://www.domain.com.au/18-joseph-avenue-new-gisborne-vic-3438-2020363237,2026-03-09
2020366503,"10 Macedon Close, NEW GISBORNE VIC 3438",NEW GISBORNE,3438,House,5,3,6,2.2,"1,680,000",1680000.0,-37.474358,144.63097,https://www.domain.com.au/10-macedon-close-new-gisborne-vic-3438-2020366503,2026-03-09
2020477991,"107 Stokes Lane East, RIDDELLS CREEK VIC 3431",RIDDELLS CREEK,3431,House,5,3,8,247900.0,"$2,500,000 - $2,750,000",2625000.0,-37.475426,144.71284,https://www.domain.com.au/107-stokes-lane-east-riddells-creek-vic-3431-2020477991,2026-03-09
2020495814,"151 Wheelwrights Road, RIDDELLS CREEK VIC 3431",RIDDELLS CREEK,3431,House,3,1,6,65963.0,"Private sale $1,780,000",1780000.0,-37.458004,144.65138,https://www.domain.com.au/151-wheelwrights-road-riddells-creek-vic-3431-2020495814,2026-03-09
2020508079,"35 Magnet Lane, NEW GISBORNE VIC 3438",NEW GISBORNE,3438,House,5,3,3,6179.0,"$1,850,000-$2,035,000",1942500.0,-37.474102,144.60199,https://www.domain.com.au/35-magnet-lane-new-gisborne-vic-3438-2020508079,2026-03-09
2020515722,"9 Wattle Grove, RIDDELLS CREEK VIC 3431",RIDDELLS CREEK,3431,House,4,2,2,900.0,"$1,150,000",1150000.0,-37.461742,144.6914,https://www.domain.com.au/9-wattle-grove-riddells-creek-vic-3431-2020515722,2026-03-09
